comparison,scope,start_date,end_date,n,mean_qlike_HARQ,mean_qlike_comparator,mean_qlike_diff_HARQ_minus_comp,mean_frobenius_HARQ,mean_frobenius_comparator,mean_frobenius_diff_HARQ_minus_comp,frobenius_pct_reduction_vs_comparator
HARQ-DRD vs LSTM-BEKK,full,2023-11-30,2025-04-12,500,-31.862062800706465,-31.408752391639815,-0.4533104090666492,7.48776260585042e-05,8.269241063292736e-05,-7.814784574423142e-06,9.450425395279726
HARQ-DRD vs LSTM-BEKK,block_1,2023-11-30,2024-04-02,125,-31.621394135899823,-31.30188385259068,-0.31951028330914805,3.406693894385897e-05,3.829846932698589e-05,-4.231530383126916e-06,11.048823771516357
HARQ-DRD vs LSTM-BEKK,block_2,2024-04-03,2024-08-05,125,-33.22220623920444,-32.89640785025177,-0.32579838895266483,8.323264442113656e-05,8.686299190046795e-05,-3.6303474793313836e-06,4.17939492976621
HARQ-DRD vs LSTM-BEKK,block_3,2024-08-06,2024-12-08,125,-32.43687621196254,-31.86289527354889,-0.573980938413651,2.516474815649235e-05,2.8850827293646305e-05,-3.6860791371539573e-06,12.776337744622401
HARQ-DRD vs LSTM-BEKK,block_4,2024-12-09,2025-04-12,125,-30.16777461575907,-29.57382259016794,-0.5939520255911327,0.000157046172712529,0.0001767573540106093,-1.9711181298080303e-05,11.151548069053584
HARQ-DRD vs XGBoost-DRD,full,2023-11-30,2025-04-12,500,-31.862062800706465,-31.71153150409633,-0.15053129661013664,7.48776260585042e-05,7.85603711558442e-05,-3.682745097340003e-06,4.687789840038241
HARQ-DRD vs XGBoost-DRD,block_1,2023-11-30,2024-04-02,125,-31.621394135899823,-31.540587943101404,-0.08080619279842347,3.406693894385897e-05,3.3203271785963425e-05,8.636671578955451e-07,-2.6011507644877914
HARQ-DRD vs XGBoost-DRD,block_2,2024-04-03,2024-08-05,125,-33.22220623920444,-33.180362370922836,-0.04184386828159702,8.323264442113656e-05,8.29731230047164e-05,2.595214164201496e-07,-0.3127776887527853
HARQ-DRD vs XGBoost-DRD,block_3,2024-08-06,2024-12-08,125,-32.43687621196254,-32.2854336653573,-0.1514425466052391,2.516474815649235e-05,2.5173630139065006e-05,-8.881982572650195e-09,0.03528288341248389
HARQ-DRD vs XGBoost-DRD,block_4,2024-12-09,2025-04-12,125,-30.16777461575907,-29.839742037003788,-0.3280325787552871,0.000157046172712529,0.00017289145969363203,-1.584528698110306e-05,9.16487547110845
HARQ-DRD vs EWMA,full,2023-11-30,2025-04-12,500,-31.862062800706465,-31.776804256929157,-0.08525854377730466,7.48776260585042e-05,7.800251041053444e-05,-3.1248843520302187e-06,4.006133053389798
HARQ-DRD vs EWMA,block_1,2023-11-30,2024-04-02,125,-31.621394135899823,-31.732558255889227,0.11116411998940699,3.406693894385897e-05,3.5424978245958134e-05,-1.3580393020991569e-06,3.833564251388382
HARQ-DRD vs EWMA,block_2,2024-04-03,2024-08-05,125,-33.22220623920444,-32.8462255295155,-0.375980709688939,8.323264442113656e-05,8.815334028852057e-05,-4.920695867384008e-06,5.581973242623439
HARQ-DRD vs EWMA,block_3,2024-08-06,2024-12-08,125,-32.43687621196254,-32.4849703047001,0.04809409273755864,2.516474815649235e-05,2.7942645257138754e-05,-2.777897100646404e-06,9.941424926248562
HARQ-DRD vs EWMA,block_4,2024-12-09,2025-04-12,125,-30.16777461575907,-30.043462937611828,-0.1243116781472452,0.000157046172712529,0.0001604890778505203,-3.442905137991307e-06,2.1452582219944065
HARQ-DRD vs HAR-DRD,full,2023-11-30,2025-04-12,500,-31.862062800706465,-31.759430985603913,-0.10263181510255076,7.48776260585042e-05,7.489333409048754e-05,-1.570803198332096e-08,0.020973871939467422
HARQ-DRD vs HAR-DRD,block_1,2023-11-30,2024-04-02,125,-31.621394135899823,-31.359891678874686,-0.26150245702513597,3.406693894385897e-05,3.676703136017657e-05,-2.700092416317598e-06,7.343786855857353
HARQ-DRD vs HAR-DRD,block_2,2024-04-03,2024-08-05,125,-33.22220623920444,-33.16987613661028,-0.05233010259416375,8.323264442113656e-05,8.335629804649159e-05,-1.2365362535502247e-07,0.14834347044305796
HARQ-DRD vs HAR-DRD,block_3,2024-08-06,2024-12-08,125,-32.43687621196254,-32.28587198899074,-0.15100422297179827,2.516474815649235e-05,2.7423391391836196e-05,-2.2586432353438468e-06,8.236192245778295
HARQ-DRD vs HAR-DRD,block_4,2024-12-09,2025-04-12,125,-30.16777461575907,-30.22208413793997,0.0543095221808949,0.000157046172712529,0.0001520266155634458,5.019557149083184e-06,-3.301762083224417
HARQ-DRD vs RW,full,2023-11-30,2025-04-12,500,-31.862062800706465,-31.270725513873614,-0.5913372868328528,7.48776260585042e-05,0.00010781932629814412,-3.2941700239639915e-05,30.552686026389075
HARQ-DRD vs RW,block_1,2023-11-30,2024-04-02,125,-31.621394135899823,-31.133076377861098,-0.4883177580387265,3.406693894385897e-05,5.02830761106029e-05,-1.621613716674393e-05,32.24969198597722
HARQ-DRD vs RW,block_2,2024-04-03,2024-08-05,125,-33.22220623920444,-32.18287049512797,-1.0393357440764663,8.323264442113656e-05,9.161511156835308e-05,-8.38246714721651e-06,9.149655557601372
HARQ-DRD vs RW,block_3,2024-08-06,2024-12-08,125,-32.43687621196254,-32.22476283755582,-0.21211337440671485,2.516474815649235e-05,6.909846100024362e-05,-4.393371284375126e-05,63.58131890028111
HARQ-DRD vs RW,block_4,2024-12-09,2025-04-12,125,-30.16777461575907,-29.54219234494957,-0.6255822708095033,0.000157046172712529,0.00022028065651337692,-6.323448380084797e-05,28.70632619392429
