family,configuration,n_targets,complete_support,mean_qlike,median_qlike,mean_frobenius,median_frobenius,repair_count,fit_failures,runtime_seconds,descriptive_qlike_rank,descriptive_frobenius_rank,status
RW,RW01,500,True,-31.270725513873614,-32.58664434146536,0.00010781932629814412,4.61960064785559e-06,0,0,0.3512366530485451,7.0,9.0,complete
EWMA,EWMA01,500,True,-31.776804256929157,-32.766834414824004,7.800251041053444e-05,7.280151341511314e-06,0,0,0.3741321361158043,2.0,4.0,complete
HAR-DRD,HARDRD01,500,True,-31.759430985603913,-32.93973831259704,7.489333409048754e-05,6.1432779352236356e-06,0,0,8.59254108904861,3.0,2.0,complete
HARQ-DRD,HARQDRD01,500,True,-31.862062800706465,-32.980038206145686,7.48776260585042e-05,5.431604589199752e-06,2,0,8.560327158076689,1.0,1.0,complete
LW-linear,LWLIN01,500,True,-30.235151560818647,-32.62449750825385,9.262341039526676e-05,5.90462426309047e-06,0,0,0.21479309909045696,8.0,8.0,complete
LW-NL,LWNL01,500,True,-30.16220763900416,-32.791233138151114,9.202238395666718e-05,6.056144470434462e-06,0,0,0.21837466396391392,9.0,7.0,complete
DCC,DCC01,0,False,,,,,0,1,0.8597579430788755,,,failed
DCC-NL,DCCNL01,0,False,,,,,0,1,0.5264320310670882,,,failed
Ridge-DRD,RIDGE01,500,True,-31.759430985603913,-32.93973831259704,7.489333409048754e-05,6.1432779352236356e-06,0,0,8.662627809913829,4.0,3.0,complete
XGBoost-DRD,XGB08,500,True,-31.71153150409633,-32.74319018693967,7.85603711558442e-05,5.623097101331767e-06,0,0,20.010208057938144,5.0,5.0,complete
LSTM-BEKK,LSTM19,500,True,-31.408752391639815,-32.394668964312146,8.269241063292736e-05,4.988252791513579e-06,0,0,4919.5110828904435,6.0,6.0,complete
