stage,T,rho,outer_replications,inner_bootstraps,block_length,nominal_alpha,valid_replications,failures,rejection_rate,mcse,ci95_lower,ci95_upper
stage2,250,0.0,1000,1999,6,0.05,1000,0,0.054,0.007147307185227175,0.03999127791695474,0.06800872208304526
stage2,250,0.6,1000,1999,6,0.05,1000,0,0.094,0.009228434320078352,0.07591226873264643,0.11208773126735357
stage2,250,0.8,1000,1999,6,0.05,1000,0,0.195,0.012528966437819204,0.17044322578187437,0.21955677421812564
stage2,250,0.9,1000,1999,6,0.05,1000,0,0.253,0.013747399754135324,0.22605509648189476,0.27994490351810525
stage2,500,0.6,1000,1999,7,0.05,1000,0,0.077,0.00843036179532053,0.060476490881171754,0.09352350911882824
stage2,500,0.8,1000,1999,7,0.05,1000,0,0.148,0.011229247525992114,0.12599067484905546,0.17000932515094452
stage2,500,0.9,1000,1999,7,0.05,1000,0,0.24,0.013505554412907307,0.21352911335070168,0.2664708866492983
stage2,1000,0.6,1000,1999,10,0.05,1000,0,0.064,0.007739767438366608,0.04883005582080145,0.07916994417919855
stage2,1000,0.8,1000,1999,10,0.05,1000,0,0.097,0.00935900635751467,0.07865634753927125,0.11534365246072875
stage2,1000,0.9,1000,1999,10,0.05,1000,0,0.189,0.012380589646701001,0.16473404429246605,0.21326595570753396
