T,rho,lag_rule,hac_lag,replications,valid_replications,failures,rejection_rate,mcse,ci95_lower,ci95_upper,true_lrv,mean_estimated_lrv_ratio,median_estimated_lrv_ratio
250,0.0,L0,0,5000,5000,0,0.0504,0.0030938597253269257,0.04433603493835923,0.056463965061640774,1.0,0.9972443540381941,0.9929441837878132
250,0.0,L_auto,4,5000,5000,0,0.0558,0.003246116448927857,0.049437611760101405,0.0621623882398986,1.0,0.978561399928947,0.9672721771771375
250,0.0,2L_auto,8,5000,5000,0,0.061,0.003384641783113835,0.05436610210509688,0.06763389789490312,1.0,0.9627702475335267,0.944059609756475
250,0.0,4L_auto,16,5000,5000,0,0.0714,0.0036414843127494045,0.06426269074701117,0.07853730925298884,1.0,0.9300667999820238,0.8915184220490315
250,0.3,L0,0,5000,5000,0,0.16,0.0051845925587262875,0.14983819858489647,0.17016180141510354,2.0408163265306127,0.5332613555863746,0.5325747562249311
250,0.3,L_auto,4,5000,5000,0,0.0806,0.0038497698632515686,0.07305445106802694,0.08814554893197307,2.0408163265306127,0.8408034525376464,0.8308829030860807
250,0.3,2L_auto,8,5000,5000,0,0.0782,0.003796966157341938,0.07075794633160981,0.0856420536683902,2.0408163265306127,0.8811616877425362,0.8653344811384365
250,0.3,4L_auto,16,5000,5000,0,0.0832,0.003905835634022507,0.07554456215731588,0.09085543784268411,2.0408163265306127,0.8823610676572964,0.8477712407518315
250,0.6,L0,0,5000,5000,0,0.328,0.006639518054798857,0.31498654461259423,0.3410134553874058,6.249999999999999,0.2464392529103508,0.24473336684496683
250,0.6,L_auto,4,5000,5000,0,0.1228,0.004641554911880286,0.11370255237271465,0.13189744762728536,6.249999999999999,0.6339911225405988,0.6240481541639928
250,0.6,2L_auto,8,5000,5000,0,0.099,0.004223718740636029,0.09072151126835339,0.10727848873164662,6.249999999999999,0.756999293076986,0.737147284258233
250,0.6,4L_auto,16,5000,5000,0,0.0922,0.004091433978448143,0.08418078940224165,0.10021921059775836,6.249999999999999,0.8204443760664373,0.7876808314141264
250,0.8,L0,0,5000,5000,0,0.5212,0.007064708911200801,0.5073531705340464,0.5350468294659536,25.000000000000014,0.10715210338724691,0.10546919550943687
250,0.8,L_auto,4,5000,5000,0,0.2378,0.006020816555916648,0.22599919955040337,0.24960080044959665,25.000000000000014,0.38085371204241547,0.3722988327932755
250,0.8,2L_auto,8,5000,5000,0,0.165,0.005249285665688237,0.15471140009525106,0.17528859990474896,25.000000000000014,0.5330067609351492,0.5176041809303862
250,0.8,4L_auto,16,5000,5000,0,0.126,0.0046930587040862805,0.1168016049399909,0.1351983950600091,25.000000000000014,0.6702181019655292,0.6411138858582623
250,0.9,L0,0,5000,5000,0,0.6604,0.006697340367638485,0.6472732128794285,0.6735267871205715,100.00000000000006,0.048572840433136956,0.04676716467001984
250,0.9,L_auto,4,5000,5000,0,0.3818,0.006870644220158689,0.36833353732848895,0.395266462671511,100.00000000000006,0.20260007125275378,0.19392228513861368
250,0.9,2L_auto,8,5000,5000,0,0.2768,0.006327428545625783,0.26439824005057344,0.28920175994942654,100.00000000000006,0.31558961163982346,0.2993599764874346
250,0.9,4L_auto,16,5000,5000,0,0.2046,0.005705065117945631,0.19341807236882658,0.21578192763117343,100.00000000000006,0.45983801040769823,0.4293508274128186
500,0.0,L0,0,5000,5000,0,0.051,0.003111237695837462,0.04490197411615857,0.05709802588384142,1.0,0.9983140472443891,0.9968125099891794
500,0.0,L_auto,5,5000,5000,0,0.053,0.003168311853337673,0.046790108767458156,0.05920989123254184,1.0,0.9878176993849968,0.9798247750937001
500,0.0,2L_auto,10,5000,5000,0,0.0554,0.0032351457463304493,0.04905911433719232,0.06174088566280768,1.0,0.9785614012409838,0.9643005003527764
500,0.0,4L_auto,20,5000,5000,0,0.0618,0.0034053123204781086,0.05512558785186291,0.0684744121481371,1.0,0.9579930086582759,0.9371475391025649
500,0.3,L0,0,5000,5000,0,0.148,0.00502187216085794,0.13815713056471843,0.15784286943528156,2.0408163265306127,0.5367817602507179,0.5355823793809319
